 ,Label,Area,Mean,StdDev,IntDen,Median,RawIntDen
32,type_strains_0.1xlbgm_pellicle_bskoreensis-05:c:2/3 - bskoreensis-05.czi #1,93813347.731,793.616,105.295,74451727023.211,768,347842468
33,type_strains_0.1xlbgm_pellicle_bskoreensis-06:c:1/3 - bskoreensis-06.czi #1,93813347.731,478.214,125.291,44862872450.029,440,209601750
34,type_strains_0.1xlbgm_pellicle_bskoreensis-06:c:2/3 - bskoreensis-06.czi #1,93813347.731,729.849,82.318,68469611086.409,711,319893701
35,type_strains_0.1xlbgm_pellicle_bskoreensis:c:1/3 - bskoreensis.czi #1,93813347.731,489.224,111.625,45895739855.236,456,214427362
36,type_strains_0.1xlbgm_pellicle_bskoreensis:c:2/3 - bskoreensis.czi #1,93813347.731,769.115,88.420,72153264152.336,752,337103926
37,type_strains_0.1xlbgm_pellicle_bslini-02:c:1/3 - bslini-02.czi #1,93813347.731,637.622,157.916,59817489889.662,601,279470526
38,type_strains_0.1xlbgm_pellicle_bslini-02:c:2/3 - bslini-02.czi #1,93813347.731,766.606,135.801,71917913904.559,739,336004357
39,type_strains_0.1xlbgm_pellicle_bslini-03:c:1/3 - bslini-03.czi #1,93813347.731,744.988,196.963,69889802163.279,717,326528910
40,type_strains_0.1xlbgm_pellicle_bslini-03:c:2/3 - bslini-03.czi #1,93813347.731,792.088,124.205,74308402044.408,773,347172846
41,type_strains_0.1xlbgm_pellicle_bslini-04:c:1/3 - bslini-04.czi #1,93813347.731,756.944,230.916,71011433316.741,692,331769231
42,type_strains_0.1xlbgm_pellicle_bslini-04:c:2/3 - bslini-04.czi #1,93813347.731,841.344,184.746,78929332647.142,791,368762082
43,type_strains_0.1xlbgm_pellicle_bslini-05:c:1/3 - bslini-05.czi #1,93813347.731,654.473,186.669,61398345215.151,615,286856367
44,type_strains_0.1xlbgm_pellicle_bslini-05:c:2/3 - bslini-05.czi #1,93813347.731,727.970,123.956,68293310459.354,699,319070015
45,type_strains_0.1xlbgm_pellicle_bslini-06:c:1/3 - bslini-06.czi #1,93813347.731,729.524,234.944,68439051292.229,659,319750924
46,type_strains_0.1xlbgm_pellicle_bslini-06:c:2/3 - bslini-06.czi #1,93813347.731,823.137,179.237,77221211447.592,774,360781648
47,type_strains_0.1xlbgm_pellicle_bslini:c:1/3 - bslini.czi #1,93813347.731,615.628,151.646,57754105223.460,585,269830282
48,type_strains_0.1xlbgm_pellicle_bslini:c:2/3 - bslini.czi #1,93813347.731,710.619,102.273,66665500836.403,694,311464801
49,type_strains_0.1xlbgm_pellicle_bspoae-02:c:1/3 - bspoae-02.czi #1,93813347.731,579.752,180.439,54388511428.660,534,254106047.000
50,type_strains_0.1xlbgm_pellicle_bspoae-02:c:2/3 - bspoae-02.czi #1,93813347.731,684.017,137.414,64169960394.142,650,299805502
51,type_strains_0.1xlbgm_pellicle_bspoae-03:c:1/3 - bspoae-03.czi #1,93813347.731,637.848,194.857,59838637120.832,592,279569327
52,type_strains_0.1xlbgm_pellicle_bspoae-03:c:2/3 - bspoae-03.czi #1,93813347.731,675.202,107.372,63342986169.579,654,295941834
53,type_strains_0.1xlbgm_pellicle_bspoae-04:c:1/3 - bspoae-04.czi #1,93813347.731,697.133,273.180,65400402582.485,616,305554194
54,type_strains_0.1xlbgm_pellicle_bspoae-04:c:2/3 - bspoae-04.czi #1,93813347.731,752.495,180.513,70594094151.146,702,329819400
55,type_strains_0.1xlbgm_pellicle_bspoae-05:c:1/3 - bspoae-05.czi #1,93813347.731,654.244,237.574,61376866438.135,601,286756017
56,type_strains_0.1xlbgm_pellicle_bspoae-05:c:2/3 - bspoae-05.czi #1,93813347.731,677.664,125.074,63573959755.349,648,297020955
57,type_strains_0.1xlbgm_pellicle_bspoae-06:c:1/3 - bspoae-06.czi #1,93813347.731,753.912,333.421,70727048315.970,671,330440569
58,type_strains_0.1xlbgm_pellicle_bspoae-06:c:2/3 - bspoae-06.czi #1,93813347.731,789.931,212.187,74106051845.288,737,346227455
59,type_strains_0.1xlbgm_pellicle_bspoae:c:1/3 - bspoae.czi #1,93813347.731,609.073,171.365,57139208397.820,576,266957451.000
60,type_strains_0.1xlbgm_pellicle_bspoae:c:2/3 - bspoae.czi #1,93813347.731,655.093,94.351,61456513210.735,636,287128131
61,type_strains_0.1xlbgm_pellicle_bsprotegens-02:c:1/3 - bsprotegens-02.czi #1,93813347.731,448.148,108.682,42042231935.744,418,196423566
62,type_strains_0.1xlbgm_pellicle_bsprotegens-02:c:2/3 - bsprotegens-02.czi #1,93813347.731,874.362,98.395,82026826998.788,849,383233742
63,type_strains_0.1xlbgm_pellicle_bsprotegens-03:c:1/3 - bsprotegens-03.czi #1,93813347.731,459.953,121.808,43149709356.394,422,201597760
64,type_strains_0.1xlbgm_pellicle_bsprotegens-03:c:2/3 - bsprotegens-03.czi #1,93813347.731,872.060,94.868,81810837615.734,846,382224628
65,type_strains_0.1xlbgm_pellicle_bsprotegens-04:c:1/3 - bsprotegens-04.czi #1,93813347.731,485.167,115.073,45515156260.187,448,212649255
66,type_strains_0.1xlbgm_pellicle_bsprotegens-04:c:2/3 - bsprotegens-04.czi #1,93813347.731,907.644,92.107,85149165456.907,885,397821475
67,type_strains_0.1xlbgm_pellicle_bsprotegens-05:c:1/3 - bsprotegens-05.czi #1,93813347.731,455.848,123.347,42764655778.493,419,199798769
68,type_strains_0.1xlbgm_pellicle_bsprotegens-05:c:2/3 - bsprotegens-05.czi #1,93813347.731,848.720,92.902,79621266258.267,827,371994833
69,type_strains_0.1xlbgm_pellicle_bsprotegens-06:c:1/3 - bsprotegens-06.czi #1,93813347.731,484.338,115.706,45437343798.688,449,212285711
70,type_strains_0.1xlbgm_pellicle_bsprotegens-06:c:2/3 - bsprotegens-06.czi #1,93813347.731,888.610,88.880,83363505123.195,871,389478774
71,type_strains_0.1xlbgm_pellicle_bsprotegens:c:1/3 - bsprotegens.czi #1,93813347.731,450.429,120.545,42256236324.498,414,197423406
72,type_strains_0.1xlbgm_pellicle_bsprotegens:c:2/3 - bsprotegens.czi #1,93813347.731,846.395,92.315,79403113800.769,829,370975613
